id,sent0,sent1
478,he built a snowman on a winter day,he built a snowman on a summer day
479,most plants provide carbon dioxide for the human,most plants provide oxygen for the human
480,wheat grows in the ocean,wheat grows in the land
481,he saw seven colors when the rainbow appears,he saw eight colors when the rainbow appears
482,thirst would make you want to sleep,thirst would make you want to drink water
483,People usually grow grey hair when old,People can grow black hair all the time
484,African skin is mostly black,African skin is mostly white
485,Close relatives are not usually allowed to marry,close relatives can marry
486,Goldfish usually sleep with their eyes closed,Goldfish usually sleep with their eyes open
487,the color of Animal blood includes not only red,the color of Animal blood includes only red
488,All animals are active in winter,Some animals hibernate
489,Many insects have a sense of smell,All insects have no sense of smell
490,The fish is sweet,The fish is fishy
491,The turtle usually lives very short,The turtle usually lives a long time
492,The leaves of many trees fall in autumn,Leaves grow on trees forever
493,Bones are soft,Bones are hard
494,the Fire has many colors,the Fire has only one color
495,Silverware is good for food,Silverware is bad for food
496,The seawater is blue,The seawater is colorless and transparent
497,Mineral water is drinkable,Seawater is drinkable
498,We usually hear thunder first and then see lightning,We usually see lightning first and hear thunder
499,Human tears are generally sweet,Human tears are usually salty
500,Cats generally like to eat vegetables,Cats usually like fish
501,The audiences of concerts are usually quiet,The audiences of concerts are usually noisy
502,wild geese fly south in winter In the northern hemisphere,wild geese fly north in winter In the northern hemisphere
503,"In nature, the leaves of all plants are oval","In nature, there aren't plants with square leaves"
504,There may be a rainbow after the rain,There may be more polluted after the rain
505,Paralympic Games are for the disabled,The Olympic Games for the disabled
506,Cloth bags can hold water,Cloth bags can hold money
507,when it snows it isn't cold,when it snows it is cold
508,I am born in China so I am Chinese,I am born in Japan so I am Chinese
509,humans walk with four legs,humans walk with two legs
510,a car is a kind of motor vehicle,a car is a kind of animal
511,sea water is sweet,sea water is salty
512,If you want to go on the internet then you should buy a computer,If you want to go on the internet then you should buy a book
513,Christmas is the twelfth month of the year,Christmas is the thirteenth month of the year
514,we can judge whether one can buy a beer by his age,we can judge whether one can buy a beer by his height
515,Peace brings suffering,War brings suffering
516,parents love their kids,parents hate their kids
517,If you want to sleep you need to go to bathroom,If you want to sleep you need to go to bedroom
518,a pig can lay eggs,a bird can lay eggs
519,I love music so I play the piano every day,I love music so I play basketball every day
520,Raincoats are used on rainy days,Raincoats are used on sunny days
521,nurses teach students,teachers teach students
522,My grandmother is so kind that everyone likes her,My grandmother is so mean that everyone likes her
523,we develop our friendship by chatting with each other,we develop our friendship by fighting with each other
524,an eraser can be used to write on paper,a pen can be used to write on paper
525,I sang at the party,I study at the party
526,The south pole is very hot,The south pole is very cold
527,Ordinary cars have four wheels,Ordinary cars have no wheels
528,Ears are for listening,Ears are for seeing
529,I talk to English native speakers to improve my English speaking,I talk to Chinese native speakers to improve my English speaking
530,The words are so big that I cannot read them clearly,The words are so small that I cannot read them clearly
531,I run every day to exercise,I sleep every day to exercise
532,I ran so fast that I won the championship,I ran so slowly that I won the championship
533,Comedy makes me laugh,Tragedy makes me laugh
534,I like mathematics so I majored in mathematics,I like art so I majored in mathematics
535,I am rich so I can buy a Lamborghini,I am poor so I can buy a Lamborghini
536,snakes are able to swim,snakes are able to fly
537,the paper is made from wood,the paper is made from soil
538,we use soap to clean our hair,we use shampoo to clean our hair
539,a rabbit can eat a frog,a rabbit can eat a carrot
540,we often wear a scarf in the summer,we often wear a scarf in the winter
541,A student will be sad if he doesn't pass the exam,A student will die if he doesn't pass the exam
