id,FalseSent,OptionA,OptionB,OptionC
237,Gloria wears a cat on her head,a hat cannot be worn on a cat's head,the cat is too heavy to be worn on her head,a cat cannot be worn on a person's head
238,Harry went to the barbershop to have his glasses repaired,a barbershop usually don't provide the service of repairing glasses,a barbershop usually repairs computers instead of glasses,the barbershop lacked the necessary tools to repair his glasses
239,Reilly is sleeping on the window,the window is open and a person cannot lay on it,a person cannot sleep on a window,the window is too cold to sleep on it
240,I have a desk on my lamp,the lamp is made of glass that is fragile,the lamp is of poor quality,a desk is too big to be put on a lamp
241,Eric stalled for a while so we ended up early,we were already late before Eric stalled,Eric is used to stalling,stalling usually results in being late
242,Mark called his friends with his pencil,Mark used his pencil to write down telephone numbers of his friends,calling with pencils are too slow,pencils are not used for communicating
243,My friend is cooking a meal on a stone,the stone is too hard to be used for cooking meals,the stone is too cold to be used for cooking meals,a stone cannot be used for heating
244,Riko made a cup of banana milkshake with apples and milk,"making banana milkshake needs bananas, not apples","making banana milkshake needs milk, not bananas","making banana milkshake needs shaking, not apples"
245,My mother was preparing dinner when I woke up in the morning,you eat dinner in the evening,she was too busy to prepare dinner in the morning,I prefer dinner than breakfast in the morning
246,Mike drank too much wine so he feels sober now,drinking too much wine will usually make people vomiting and sober,drinking too much wine will usually not make people sober,Mike is not good at drinking wine so he feels sober
247,My mother went to an artist to check her teeth,the artist was having a toothache,an artist usually cannot treat teeth disease,the artist was working on artworks related to teeth health
248,Mike cried after hearing an interesting joke,jokes will make people happy instead of sad,jokes will usually make interesting people burst into tears,Mike felt offended hearing that interesting joke
249,She sharpened the pencil with an eraser,the eraser is very sharp and cannot be used to sharpen the pencil,erasers are not for sharpening pencils,she bought a pencil with an eraser
250,Being involved in a car accident can ease your life,car accidents will make your life harder,driving a car without being involved in accidents is easy,solving car accidents can be easy
251,It is dark outside because it is ten am,it is cold outside in the morning,it is bright outside in the morning,it is dark outside in the evening
252,Harry was relaxed because of the nightmare,he had a nightmare while he was relaxing himself,the nightmare is not terrified enough for Harry,having nightmares usually will not make people relaxed
253,Astrid kissed him out of pure hatred,she hated him after kissing him,kissing someone will usually not make people hate each other,people don't kiss someone they hate
254,His son took the school bus to go to work,school buses are not available during weekends,his son prefers school bus to taxi,school buses usually bring children back and forth to school
255,Throwing stones at cats is treating them nicely,hurting animals is not a nice behavior,hurting stray cats is acceptable,cats can protect themselves from being hurt by stones
256,Society demands reward for criminals,rewarding criminals will only make them more savage,it's acceptable to give rewards to some good crimicals,the act of catching criminals should be rewarded
257,He saw a car floating at sea,The car is a means of transport on land,The car is made of iron,The car is too expensive
258,People can buy potatoes at a fruit shop,Potatoes are not sold to ordinary people,Potatoes are not fruits,Potatoes are disgusting
259,I should take off my underpants when swimming,One man should never take off his underpants,Taking off trousers is enough when swimming,One man should not take off anything when swimming
260,My son needs bra after growing up,Boys hate the bra,Boys do not need a bra,the Bra is not important for everyone
