Correct Statement,Incorrect Statement,Right Reason1,Confusing Reason1,Confusing Reason2,Right Reason2,Right Reason3
Dwight cut down a tree,Dwight cut down a mountain,Mountains are much larger than trees,Trees are much more common than mountains,Trees grow faster than mountains,A mountain can't be cut down.,mountains are too big to be cut down
he swam in the lake,he swam in the lava,lava is too hot to swim in it,lava is red and he doesn't like red,he doesn't like the smell of lava,He would die if he did that,you would die in lava
He put a card in his wallet.,He put a horse in his wallet.,A horse is much larger than a wallet.,Horses are usually brown while wallets are red.,A horse does not use a wallet.,"A person cannot put a horse into a wallet, it would not fit",A horse is too large to fit inside a wallet.
The woman wrote down the story with a pencil on paper,The woman wrote down the story with a spoon on paper,A person can't write down something with a spoon.,A spoon is about the same size as a pencil.,A spoon is harder than all paper,A person does not use a spoon to write,"Spoons are used for eating, not writing."
she ate a banana,she ate a brick,bricks cannot be eaten,bricks are not tasty,bricks are too red to be eaten,People eat food and a brick is not a food and it is also too hard to chew.,Brick is not allowed to eat
I use swords,Swords use me,A sword is not alive,A sword is made of metal,I am human,Swords are inanimate,Swords are not alive
Geralt drives his car every day,Geralt flies his car every day,Cars have wheels and cannot fly,There are cars with spoilers,Airplanes and cars have got motors.,Cars do not fly.,Cars do not fly
She needed to call her mother but she could not find her phone,She needed to call her mother but she could not find her car keys,car keys are for locking or unlocking the car rather than calling people,car keys are sharp and could scratch your phone screen,car keys are not used for locking the house,A person does not use car keys to make a phone call,car keys do not make phone calls
He served vegetables for dinner,He served a globe for dinner,Globes are made of materials you cannot eat,Globes are more accurate than maps for the the north and south pole,Globes can break and would be dangerous to carry to the dinner table.,A globe is not food.,"A globe is not edible, thus cannot be served as dinner"
He went to restaurant because he feels hungry,He went to  beauty parlour because he feels hungry,beauty parlour does not provide food for your hunger,"The beauty parlour has only scissors, chair and mirror which can't be ate by him",There are different type of restaurant and food to eat to overcome his hunger,Beauty parlors do not sell food,parlors don't have food for hunger
The Piano was played,The Piano was hit,"The piano is an instrument we play, not hit",The piano didn't have drums,The piano was closed,You cannot get music out of the piano by hitting it.,you don't hit a piano
today will be 24 hours,today will be 30 hours,One day is only 24 hours,one day is made up of 24 hours while 30 hours is made up of 1 day and 6 hours,30 hours don't fit in 1 day,Every day by definition is 24 hours long,In the day only 24 hours
A cup is for holding a liquid you plan to drink.,A cup is for holding a gas you plan to drink.,You can not drink gas.,Gas doesn't fit into cups.,Only liquids can go into cups.,"A person does not drink gas, from a cup or anything else.",A gas would not stay in a cup.
I dress myself,I dress a lion,A lion is a wild animal,A lion is a mammal,A lion eats meal,Lions don't wear clothes.,You don't put clothes on a lion.
He threw the ball into the basket.,He threw an anvil into the basket.,An anvil is too heavy to throw in a basket.,Anvils are usually black while the baskets are white.,Anvils do not play ball in the basket.,An anvil is very heavy and could not be thrown through a basket,Anvils are too large and heavy to throw.
I like to eat boiled eggs,I like to eat cooked ice cream,Ice creams are for taking not for cooking,Ice cream melts when cooking non eggs,ice creams don't cook,you don't COOK ice creams,Ice cream would melt if cooked.
He ate barbecue.,He ate a crane.,A crane and made of metal is not fit for eating.,Cranes are always metal while the barbecue is red.,A crane cannot eat barbecue.,A crane is not food.,A crane is not something that is eaten- it is not food.
He danced on the floor,He danced on the spoon,Spoon is an utensil,Spoon is not flat,He does not like spoon,A spoon is too small to dance on.,Spoons are too small to dance on.
A portrait is a painting or a photograph which focuses on the face of a person,A landscape is a painting or a photograph which focuses on the face of a person,landscapes portray land rather than individual people,Any landscape can be captured in a painting or a photograph,painting the face of a person requires some skill,Landscapes focus on a wider scale and more about the environment than an individual.,"A landscape focuses on a natural setting, not a person."
The child rubbed mud on his face.,The child ate mud off of his face.,Humans do not eat mud.,Children do not play in the mud.,Children are allergic to mud.,Mud is not edible.,Mud is not edible.
A man defrosted a chicken using a microwave.,A man defrosted a chicken using a lighter.,You can not defrost a chicken using a lighter because the heat generated is too small and focuses on only one part of the chicken.,A lighter flame is too hot to defrost a chicken with.,A lighter breaks very easily and cannot maintain the flame long enough to defrost.,Lighters are not designed for defrosting frozen items.,A lighter is much too small to defrost a chicken.
He was walking on the road.,He was walking on the water.,Water has no solid surface to hold someone above it.,Water can be displaced by the mans body mass.,Water cannot be stopped.,water does not support human weight,A person cannot walk on water
A shark eats a fish,A shark interviews a fish.,Sharks and fish do not talk.,Sharks are bigger than fish.,There are more letters in the word shark than fish.,A shark cannot talk,Fish cannot talk
She lifted a chair.,She lifted a tractor.,A tractor is too heavy for one person.,Tractors are often black while chairs are green.,A tractor cannot sit in the chair.,It is physically impossible for only one person to lift a tractor.,Tractors are too heavy to be lifted by a normal person
