id,FalseSent,OptionA,OptionB,OptionC
229,The eagle flies deep in the ocean,Eagles cannot find materials for their nest in the deep ocean,Eagles do not go into bodies of water,Eagles are not the same color of ocean and could not camoflauge
230,She went to the moon on Sunday,People don't go the moon casually,The moon is larger than a park,Parks have more trees than the moon
231,200 is one hundred,200 is bigger than one hundred,200 is not one hundred in the international system,200 has got the same zeros as one hundred
232,She ran into the closet.,The cabinet is preferably white and the track is red.,"The closet is too small, not fit for racing.",The closet doesn't run on the track.
233,he drank paper,paper is impossible to swallow,paper is too hot to drink,paper isn't a liquid
234,The girl was sleeping on a spoon,The spoon is not a flat,The spoon is made of steel,The spoon is too small and no one can sleep on it
235,I typed something on the floor,You can't type something on a floor,The floor is flat like many keyboards,"The floor makes a sound when tapped, like keyboards do"
236,The plane swam to Belize,The flight to Belize is long.,Planes do not swim.,Plane tickets are expensive
237,he visited a mechanic to check his tooth pain,Mechanic does not know anything about human medicine and works with machine,There are many mechanic in the city,Mechanics are always busy
238,The dog goes flying three times a day.,Dogs cannot fly.,The dog has four legs.,Dogs are afraid of heights.
239,You need your passport to enter a cinema,Passports are bigger than movie tickets,One doesn't carry the passport at all times,Cinemas will never ask you to show your passport
240,He didn't want to leave from inside his mailbox.,Mail is delivered daily to the mailbox.,There are multiple companies that deliver mail.,Mailboxes are too small to fit inside.
241,He unlocked the door with a shoe.,shoes have laces but doors have knobs.,shoes are more flexible than doors.,A door cannot be unlocked with a shoe.
242,He took his dog to the hairdresser for a health check-up.,Hairdressers are too busy to look after animals.,Dogs are very difficult to brush.,Hairdressers do not perform health check-ups on animals.
243,One of the things you do when you wake up is saying good night,People say goodnight after brushing the teeth in the night,Good night is said at night before you go to bed,People brush teeth after saying goodnight then go to bed
244,The children were happy seeing the monster,The Monster Was Big and the children are small,The children wont be happy when thet see a monster,the children are sad and the monster is happy
245,He carved the ham with a spoon.,The ham was not finished cooking.,The spoon needed to be sharpened.,A spoon is not sharp and couldn't cut a ham.
246,He took his dog to the gym to take his vaccines,Gyms can't give medical care or vaccines to animals,Gyms equipments don't need to take vaccines,Dogs can't go the gym hours after taking their vaccines
247,"In the morning when I wake up, I eat dinner.",Dinner is the most important meal of the day.,Dinner takes longer to eat than breakfast.,"Dinner is eaten in the evening, not the morning."
248,Potatos is the plural of potato,"According to Oxford, the correct form is potatoes",Potatoes and potatos could be accepted forms if it weren't for oxford,Two potatoes are more than a potato
249,I found a soap on a table.,A soap should be in a soap dish.,Soaps are always wet while tables are green.,A soap cannot write a note.
250,Something you might do while driving your car is fly a plane,Cars are driven on the road and planes fly in the air,Cars cannot be flown like planes,You can't fly a plane if you're driving a car
251,People went to restaurant to pray,Restaurant is too crowded to pray,Restaurant is a place to eat and no one prays there,Restaurants are always bigger in size and many people come there
252,He called the banker to complain about the robbery,Banker needs prior appointment,There are many bankers in the city and all are busy,Banker does not investigate about crime
253,Curtains let more light into the room.,Curtains looks very nice when they match the walls.,The curtains always need to be open.,Curtains are a physical barrier for the light.
254,He sent a text message in lunch box,Lunch box is to store and carry food,Lunch box is in blue color and mobile is in red color,Lunch box comes in different shape
255,An stove is where people sit and relax,No one sits and relaxes on stove,A stove has four legs just like armchair,A stove is used for cooking
256,The defendant sentenced the jury to death.,There are more jury people than defendants.,The judge would never allow all the defendants agree to this.,Defendant's don't decide what happens to the jury.
257,He drinks petrol every morning,Petrol is costly than tea,Tea is easily available than petrol,It is dangerous to drink petrol
258,James read the last page of the book and proceeded to eat it.,Books may contain recipies to make food.,"Books can be covered in leather, leather comes from animals, it is possible to eat an animal.",You cannot eat a book.
259,She drove her car around the supermarket to collect groceries,Cars run on fuel whereas supermarkets sell food,A car cannot pay for shopping in the supermarket,You cannot access a supermarket in a car.
260,You can buy pictures in a museum,Pictures can be sold,Museums hold many pictures sold by rich people,Museums are meant to be visited by the public just for seeing not buying
261,He packed his clothes in a pen,Pen is too small to hold clothes,Pen is very cheap,Pen has ink which can soil clothes
262,She put her shirt on her feet,"Shirts are worn on the torso, not on feet",shirts are usually grey while shoes are usually white,there are two shoes but only one shirt
263,He bought plate to cook food,No one can cook plate for food,Plate is in round shape and stove is in square shape,Plate is very costly
264,I want to play football on my guitar,A guitar is for playing music,Guitars have strings while football does not,Football cant be strummed
265,The student called his professors notes.,You can't make a phone call to written words.,Sometimes students fall asleep in class.,The professor sometimes speaks too quickly.
266,Mobiles are used to cleaning,Mobile is a communicating device,There are different types of mobiles,Mobile is very useful to human beings
